----------------SI-------------------
79.712
79.420
79.477
79.702
79.334
79.456
79.542
79.741
79.745
79.880
80.313
80.393
80.367
80.700
80.757
81.138
81.791
82.210
82.318
82.477
82.808
82.660
82.706
82.215
82.345
82.428
82.476
82.432
82.515
82.741
82.761
82.317
82.097
80.921
81.103
80.745
80.503
79.949
79.714
79.443
79.150
79.238
79.364
79.531
79.717
79.637
79.392
78.943
78.225
78.207
78.715
79.434
79.295
79.505
80.351
80.605
81.343
81.261
80.950
80.512
80.598
80.559
79.953
79.118
77.780
76.921
76.656
76.481
76.585
76.366
76.059
76.033
76.679
76.455
76.191
75.664
75.427
75.477
75.083
75.409
75.937
76.479
76.761
77.307
77.905
78.534
78.619
78.357
77.568
77.063
76.037
75.312
74.253
74.009
74.856
75.964
76.011
76.023
75.862
76.207
76.325
76.538
76.579
76.623
76.764
76.755
76.858
76.861
76.765
76.792
76.800
76.663
76.577
76.292
76.304
76.349
76.350
76.324
76.151
76.066
75.804
75.692
75.647
75.795
75.910
76.034
75.973
76.160
76.660
77.111
77.530
78.127
78.627
79.229
79.979
80.113
79.925
79.179
78.837
78.055
77.534
77.454
77.653
77.049
76.563
76.437
75.308
74.475
74.153
73.937
73.549
72.724
72.470
73.394
75.459
73.429
72.498
73.642
76.154
76.491
76.295
76.072
75.843
75.931
75.639
76.022
75.529
75.029
75.014
74.998
74.632
74.001
73.172
73.798
74.763
75.898
75.760
74.484
73.334
70.191
67.926
65.642
64.147
63.666
63.006
61.296
58.669
57.545
55.865
56.096
57.737
59.296
59.985
61.298
63.581
66.664
69.302
64.939
62.490
58.731
54.916
51.488
50.575
48.335
47.750
48.283
48.166
47.601
47.008
47.190
50.211
53.509
55.730
56.029
56.567
57.907
59.955
62.654
65.557
68.706
71.532
73.363
74.045
73.147
72.367
72.447
72.586
72.812
74.637
77.146
79.971
80.625
80.943
80.887
80.557
80.489
80.953
80.709
81.584
81.948
81.997
82.133
81.935
82.740
83.232
83.522
83.480
83.625
84.429
85.055
85.188
84.485
84.574
85.023
85.212
85.123
84.768
85.014
85.059
84.943
85.095
85.110
85.061
85.106
85.116
84.726
84.936
84.830
84.612
84.769
84.643
84.583
84.703
84.673
84.587
84.573
84.559
84.436
84.377
84.084
84.239
84.221
84.328
84.408
84.184
84.434
83.962
84.051
84.015
83.985
84.112
84.334
84.391
84.443
84.704
84.882
84.689
84.501
84.696
84.697

----------------TI-------------------
10.527
10.882
10.275
10.108
8.885
8.140
9.237
10.990
10.690
10.561
11.274
13.010
14.498
14.503
14.287
12.931
11.395
10.542
10.143
9.512
12.113
16.036
16.986
16.382
14.670
10.045
7.094
6.890
6.503
8.965
10.889
12.001
12.865
13.890
14.218
13.686
13.662
12.389
11.017
11.156
10.956
9.709
7.891
9.398
9.367
10.427
13.452
14.910
12.577
10.506
8.756
8.161
11.168
11.492
11.903
13.016
13.481
14.233
14.348
13.998
12.847
11.077
10.390
11.380
12.110
12.384
11.335
9.389
9.103
11.713
12.944
12.303
10.147
9.691
12.196
14.177
15.563
16.674
16.398
15.547
13.870
12.627
12.199
13.186
12.874
12.525
12.281
13.768
15.345
16.790
16.183
18.185
20.543
19.363
13.824
10.161
9.039
10.035
9.049
7.787
6.497
7.445
9.133
10.404
9.526
6.189
4.530
7.752
8.610
8.217
8.741
8.721
8.841
9.167
8.138
6.106
4.918
6.165
6.660
6.086
6.154
7.204
8.118
8.316
8.915
9.491
8.922
8.805
8.615
8.650
9.450
11.109
11.169
11.191
11.431
13.128
15.239
16.587
16.748
16.432
16.486
17.293
17.878
17.685
16.691
16.267
18.929
17.596
15.367
15.216
19.077
22.977
23.967
23.863
21.171
23.343
20.986
17.901
10.047
9.244
10.723
12.245
9.870
11.207
7.775
13.166
18.116
18.862
18.607
19.971
23.307
26.148
27.793
27.326
27.161
28.392
30.527
31.867
32.991
33.549
34.035
35.006
35.943
36.250
35.208
33.514
32.048
31.315
30.154
28.652
27.296
27.292
27.085
26.378
25.487
24.571
23.796
22.882
21.647
21.145
20.808
21.329
21.736
21.589
22.751
23.868
24.775
24.145
24.305
24.928
25.385
25.415
25.370
26.231
27.046
27.774
27.929
26.920
26.025
25.136
24.435
23.956
23.997
24.350
24.650
24.273
24.259
24.044
22.868
21.060
18.037
13.171
10.459
13.437
16.875
17.882
18.069
18.550
17.994
19.154
21.045
21.454
21.428
20.038
18.782
19.196
19.225
16.792
11.149
8.109
8.683
6.456
5.651
8.754
10.862
13.438
11.392
8.060
7.237
8.673
11.310
10.192
8.129
7.189
8.090
7.535
7.541
8.914
6.239
3.945
6.090
7.245
5.362
4.463
5.240
3.453
4.746
5.599
6.379
5.842
4.173
7.124
11.592
13.391
12.369
12.251
11.202
11.593
11.701
9.682
7.627
7.887
8.801
8.002
7.273
8.329
8.017
7.084
4.407

----------------Summary-------------------
max_TI:36.250
avg_TI:14.772
max_SI:85.212
avg_SI:45.613
